"202112","대구성서",5309,2737,1435,1137,0,42,1022,3082,371,792,80,58,0,4,39,162,4966,597,701,700,792,874,922,723,0,0
"202112","전주완산",6559,3460,1868,1231,0,25,1061,3699,906,868,66,21,0,7,49,235,6181,751,802,854,1054,1004,1171,923,0,0
"202112","서울광진",6956,3579,2073,1304,0,132,1757,3884,569,614,99,47,0,17,65,264,6464,925,897,795,1128,1058,1171,982,3066952,346546
"202112","일산서부",3554,1883,1133,538,0,52,1030,1757,417,298,111,30,0,4,35,97,3277,440,455,419,490,577,680,493,0,0
"202112","오산",4298,2348,1155,795,0,47,1075,2270,300,606,82,44,0,13,43,132,3984,544,503,523,703,717,720,588,0,0
"202112","제주서부",3534,1897,1074,563,0,16,648,2170,253,447,100,23,0,10,47,150,3204,458,379,427,592,565,620,493,0,0
"202112","경북청",193,95,62,36,0,1,129,51,12,0,1,2,0,0,25,1,164,17,20,34,43,31,22,26,0,0
"202112","합천",623,360,138,125,0,3,42,309,197,72,4,0,0,2,0,12,605,69,80,70,94,98,125,87,0,0
"202112","서울영등포",10202,5440,2622,2140,0,178,2473,5317,939,1295,93,21,0,33,116,364,9575,1129,1296,1282,1567,1680,1817,1431,3548012,1103293
"202112","대구동부",6684,3334,1912,1438,0,39,1279,3828,547,991,167,41,1,8,44,167,6256,752,856,842,1143,1082,1160,849,0,0
"202112","사천",1746,903,487,356,0,28,301,880,206,331,32,6,0,2,17,47,1642,205,201,257,343,273,232,235,0,0
"202112","경남청",225,113,58,54,0,21,124,65,15,0,2,2,0,0,37,0,184,31,29,35,35,23,34,38,0,0
"202112","과천",887,467,217,203,0,22,215,453,67,130,10,1,0,2,12,18,844,82,96,111,153,179,159,107,0,0
"202112","울릉",98,49,15,34,0,0,14,41,22,21,0,0,0,0,0,3,95,13,12,8,18,13,17,17,0,0
"202112","공주",2056,832,547,677,0,5,327,898,207,619,26,10,0,1,31,33,1955,221,288,239,352,293,338,325,0,0
"202112","영양",130,71,38,21,0,0,21,60,21,28,7,0,0,0,0,3,120,9,17,20,22,29,23,10,0,0
"202112","대전청",111,55,31,25,0,1,71,28,11,0,0,1,0,0,18,0,92,11,4,18,16,19,22,21,0,0
"202112","부천원미",9656,5034,2592,2030,0,73,2072,5636,603,1272,164,60,0,30,59,294,9049,1172,1124,1180,1429,1554,1642,1555,0,0
"202112","대구서부",3996,2123,1206,667,0,18,756,2529,256,437,95,34,0,4,13,149,3701,458,564,510,644,623,665,532,0,0
"202112","양산",4896,2604,1462,830,0,59,711,2621,871,634,107,30,0,5,48,164,4542,539,553,623,788,790,873,730,0,0
"202112","서산",2467,1384,678,405,0,15,421,1429,314,288,67,7,0,4,35,77,2277,300,308,311,407,371,434,336,0,0
"202112","서울방배",2465,1312,670,483,0,44,608,1296,189,328,35,5,0,9,34,49,2333,240,327,316,410,367,448,357,4451779,135561
"202112","서울용산",7894,3079,1556,3259,0,107,1385,3216,495,2691,59,28,0,12,64,231,7500,975,965,964,1181,1292,1243,1274,3783427,558137
"202112","인제",342,186,88,68,0,4,75,195,27,41,5,2,0,0,3,7,325,39,38,38,48,68,68,43,0,0
"202112","진도",401,223,100,78,0,6,133,190,35,37,5,0,0,0,8,17,371,57,59,37,58,82,66,42,0,0
"202112","대구남부",3655,1850,1097,708,0,19,737,2247,236,416,69,34,0,9,28,112,3403,390,538,485,569,609,611,453,0,0
"202112","서울동대문",7039,3740,1991,1308,0,91,1710,3996,541,701,118,28,1,23,64,240,6565,823,871,888,1135,1130,1225,967,3011303,373552
"202112","완주",1751,860,377,514,0,13,275,784,283,396,29,0,0,2,6,40,1674,215,189,229,308,270,315,225,0,0
"202112","청양",371,188,93,90,0,4,81,204,41,41,6,0,0,0,3,9,353,44,48,55,62,52,65,45,0,0
"202112","인천계양",5398,2794,1627,977,0,63,1100,3295,442,498,108,31,0,3,55,190,5011,640,641,683,877,809,922,826,0,0
"202112","서울동작",6199,3115,1907,1177,0,116,1651,3199,612,621,91,26,0,16,87,171,5808,734,804,775,971,1110,995,810,3436506,495828
"202112","춘천",5409,2417,1409,1583,0,21,848,2795,520,1225,99,23,0,5,46,154,5082,622,649,724,938,881,896,699,0,0
"202112","인천미추홀",10808,5759,3135,1914,0,80,2190,6670,973,895,213,105,2,19,92,349,10028,1274,1353,1472,1696,1633,1718,1662,0,0
"202112","안동",2780,1459,686,635,0,1,417,1568,365,429,48,4,0,5,13,119,2591,336,369,396,436,395,468,380,0,0
"202112","화성동탄",5007,2730,1374,903,0,33,1434,2437,484,619,132,33,0,10,53,180,4599,497,612,628,815,842,854,759,0,0
"202112","충남청",145,72,46,27,0,6,94,35,10,0,1,1,0,1,22,1,119,22,23,27,17,21,14,21,0,0
"202112","서울성동",5708,3202,1454,1052,0,80,1439,3207,453,529,56,18,0,15,48,118,5453,593,642,701,1024,964,993,791,3535332,394954
"202112","포항남부",3094,1655,924,515,0,4,437,1803,558,292,68,16,2,7,12,128,2861,390,370,359,446,567,511,451,0,0
"202112","안양동안",4736,2536,1324,876,0,32,1032,2386,506,780,76,23,0,7,39,131,4460,512,600,623,785,731,826,659,0,0
"202112","전북청",62,30,19,13,0,0,41,18,3,0,0,0,0,0,8,0,54,13,5,6,8,10,10,10,0,0
"202112","천안서북",6869,3636,1999,1234,0,31,1139,3956,948,795,146,97,2,13,88,228,6295,826,893,874,1046,1126,1165,939,0,0
"202112","여수",5174,2884,1435,855,0,18,1257,2769,722,408,124,48,0,1,32,208,4761,579,650,661,793,838,905,748,0,0
"202112","강진",478,236,135,107,0,5,151,238,51,33,13,1,0,0,2,26,436,56,75,56,83,81,80,47,0,0
"202112","김해중부",5105,2681,1571,853,0,86,810,2704,849,656,110,18,0,4,42,176,4755,599,638,563,804,844,900,757,0,0
"202112","고령",152,86,26,40,0,0,38,90,11,13,3,0,0,0,1,6,142,12,15,22,34,15,30,24,0,0
"202112","부산북부",4232,2237,1182,813,0,48,871,2638,257,418,67,6,0,5,47,126,3981,509,504,530,665,722,719,583,0,0
"202112","영암",928,517,196,215,0,4,259,473,111,81,16,2,0,4,7,26,873,110,88,119,159,186,157,109,0,0
"202112","강원도고성",492,252,122,118,0,2,110,275,45,60,7,2,0,3,9,18,453,77,52,52,58,69,89,95,0,0
"202112","서울구로",7535,4001,2038,1496,0,119,1866,4057,675,818,125,35,0,23,57,309,6986,857,879,940,1270,1181,1419,989,2890323,478336
"202112","보성",575,230,120,225,0,6,151,217,62,139,9,2,0,1,0,10,553,61,76,64,88,98,105,83,0,0
"202112","김천",1953,915,504,534,0,5,309,1031,194,414,34,3,0,1,9,73,1833,201,257,251,307,321,307,309,0,0
"202112","밀양",1621,761,534,326,0,18,293,859,201,250,26,2,0,2,16,53,1522,182,222,205,267,273,264,208,0,0
"202112","영동",442,238,98,106,0,1,105,257,24,55,13,0,0,0,3,21,405,50,48,65,79,75,60,65,0,0
"202112","양주",2982,1692,772,518,0,41,825,1415,430,271,43,8,0,5,39,64,2823,331,372,380,375,505,560,459,0,0
"202112","울산울주",3156,1448,787,921,0,30,660,1442,142,882,50,2,0,10,43,95,2956,367,347,391,475,599,529,448,0,0
"202112","전남청",133,57,38,38,0,1,86,43,3,0,0,1,0,0,34,1,97,28,14,19,23,15,24,10,0,0
"202112","고흥",939,540,236,163,0,4,215,479,153,88,16,4,0,0,1,28,890,89,144,124,128,163,152,139,0,0
