,학교명,평균 교육 시간(1학급당),500m_inner_police_dept,500m_inner_cctv,경감지표_score,경감지표_cluster,경감지표_학교폭력위험도
0,가락고등학교,147.75,0,102,20,0,매우 안전하지 않음
1,가재울고등학교,100.0,0,137,20,0,매우 안전하지 않음
2,강동고등학교,30.65,0,51,20,0,매우 안전하지 않음
3,강서고등학교,237.3,1,299,100,1,매우 안전
4,강서공업고등학교,187.5,1,98,40,3,안전하지 않음
5,강일고등학교,325.0,1,30,80,2,안전
6,개포고등학교,126.4,0,136,20,0,매우 안전하지 않음
7,건국대학교사범대학부속고등학교,0.1,1,158,40,3,안전하지 않음
8,경기고등학교,38.1,2,185,100,1,매우 안전
9,경기기계공업고등학교,49.4,0,86,20,0,매우 안전하지 않음
10,경기상업고등학교,227.5,0,43,20,0,매우 안전하지 않음
11,경기여자고등학교,200.0,0,118,20,0,매우 안전하지 않음
12,경동고등학교,357.6,1,159,80,2,안전
13,경문고등학교,44.6,0,281,60,4,보통
14,경복고등학교,532.8,1,58,80,2,안전
15,경복비즈니스고등학교,235.0,1,79,40,3,안전하지 않음
16,경복여자고등학교,200.0,1,70,40,3,안전하지 않음
17,경성고등학교,540.0,0,148,80,2,안전
18,경신고등학교,269.2,2,188,100,1,매우 안전
19,경인고등학교,7.05,0,95,20,0,매우 안전하지 않음
20,경일고등학교,50.0,0,295,60,4,보통
21,경희고등학교,91.65,1,186,40,3,안전하지 않음
22,경희여자고등학교,71.85,1,186,40,3,안전하지 않음
23,계성고등학교,56.0,1,130,40,3,안전하지 않음
24,고려대학교사범대학부속고등학교,250.0,0,152,20,0,매우 안전하지 않음
25,고명외식고등학교,104.15,0,230,60,4,보통
26,고척고등학교,78.19999999999999,0,248,60,4,보통
27,공항고등학교,160.0,0,117,20,0,매우 안전하지 않음
28,관악고등학교,90.0,0,78,20,0,매우 안전하지 않음
29,광남고등학교,102.3,1,86,40,3,안전하지 않음
30,광문고등학교,1.2000000000000002,0,135,20,0,매우 안전하지 않음
31,광성고등학교,150.0,0,140,20,0,매우 안전하지 않음
32,광신고등학교,236.7,0,138,20,0,매우 안전하지 않음
