,학교명,교실안,신체폭력,집단따돌림,쉬는시간,500m_inner_Harmful_dept,위해지표_score,위해지표_cluster,위해지표_학교폭력위험도
81,동명여자고등학교,1.0,0.0,1.0,1.0,8,20,5,안전
82,동북고등학교,1.0,0.5,0.5,0.0,0,0,0,매우 안전
83,동성고등학교,1.0,0.0,0.0,1.0,2,40,4,보통
84,동양고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
85,동일여자고등학교,1.0,0.0,0.0,1.0,0,40,4,보통
86,동작고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
87,둔촌고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
88,등촌고등학교,0.0,0.0,1.0,0.0,0,60,2,주의
89,리라아트고등학교,0.0,0.0,0.0,0.0,10,80,3,위험
90,마포고등학교,1.0,1.0,1.0,1.0,0,0,0,매우 안전
91,면목고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
92,명덕고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
93,명덕여자고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
94,명덕외국어고등학교,0.0,0.0,1.0,1.0,1,60,2,주의
95,명일여자고등학교,1.0,0.0,1.0,0.0,2,20,5,안전
96,명지고등학교,1.0,0.0,0.0,1.0,0,40,4,보통
97,목동고등학교,0.5,0.0,0.0,1.0,0,40,4,보통
98,무학여자고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
99,문일고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
100,문정고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
101,문현고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
102,미래산업과학고등학교,0.5,0.5,0.5,0.5,1,0,0,매우 안전
103,미림여자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
104,미림여자정보과학고등학교,0.5,0.0,0.25,0.5,0,40,4,보통
105,미양고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
106,반포고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
107,방산고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
108,배명고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
109,배문고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
110,배재고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
111,배화여자고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
112,백암고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
113,보성고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
114,보성여자고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
115,보인고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
116,불암고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
117,삼각산고등학교,0.5,0.0,0.5,0.0,3,100,1,매우 위험
118,삼성고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
119,상계고등학교,0.0,0.0,0.0,0.0,6,100,1,매우 위험
120,상명고등학교,1.0,0.0,0.5,1.0,0,20,5,안전
121,상명대학교사범대학부속여자고등학교,0.5,0.0,0.5,0.5,0,40,4,보통
122,상문고등학교,0.5,0.0,0.0,0.0,0,100,1,매우 위험
123,상암고등학교,0.6666666666666666,0.0,0.6666666666666666,0.0,0,60,2,주의
124,상일미디어고등학교,0.5,0.0,0.5,0.5,1,40,4,보통
125,상일여자고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
126,서라벌고등학교,0.0,0.0,0.0,1.0,0,40,4,보통
127,서문여자고등학교,0.0,0.0,0.5,0.0,4,100,1,매우 위험
128,서서울생활과학고등학교,0.0,0.5,0.0,0.0,0,0,0,매우 안전
129,서울고등학교,0.6666666666666666,0.3333333333333333,0.0,0.0,1,0,0,매우 안전
130,서울공업고등학교,0.0,0.0,0.0,0.0,6,100,1,매우 위험
131,서울공연예술고등학교,0.0,0.0,1.0,1.0,0,60,2,주의
132,서울과학고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
133,서울관광고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
134,서울국제고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
135,서울금융고등학교,0.6,0.2,0.4,0.8,0,40,4,보통
136,서울대학교사범대학부설고등학교,1.0,0.0,0.0,1.0,4,40,4,보통
137,서울도시과학기술고등학교,0.0,0.0,0.3333333333333333,0.0,19,80,3,위험
138,서울동산고등학교,0.3636363636363636,0.0909090909090909,0.0,0.4545454545454545,0,40,4,보통
139,서울디자인고등학교,0.0,0.0,0.25,0.25,1,100,1,매우 위험
140,서울디지텍고등학교,0.0,0.0,0.0,0.0,4,100,1,매우 위험
141,서울로봇고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
142,서울매그넷고등학교,0.5,0.5,0.0,0.5,0,0,0,매우 안전
143,서울문영여자고등학교,0.5,0.0,0.0,1.0,0,40,4,보통
144,서울문화고등학교,0.5,0.0,0.0,0.0,0,100,1,매우 위험
145,서울미술고등학교,0.5,0.0,0.5,0.5,0,40,4,보통
146,서울방송고등학교,0.5,0.0,0.0,1.0,2,40,4,보통
147,서울세종고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
148,서울신정고등학교,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0,20,5,안전
149,서울아이티고등학교,0.5,0.0,0.0,0.5,0,40,4,보통
150,서울여자고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
151,서울여자상업고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
152,서울영상고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
153,서울예술고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
154,서울외국어고등학교,0.5,0.5,1.0,0.5,0,0,0,매우 안전
155,서울의료보건고등학교,0.0,0.0,0.0,0.0,12,80,3,위험
156,서울인공지능고등학교,0.5,1.0,0.5,0.5,0,0,0,매우 안전
157,서울전자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
158,서울체육고등학교,0.0,0.0,1.0,0.0,1,60,2,주의
159,서울컨벤션고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
160,서울항공비즈니스고등학교,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1,40,4,보통
161,서일문화예술고등학교,0.5,0.0,0.0,0.25,0,100,1,매우 위험
162,서초고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
163,석관고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
164,선덕고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
165,선린인터넷고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
166,선사고등학교,1.0,0.0,0.0,0.0,0,40,4,보통
167,선유고등학교,0.0,0.0,0.0,0.0,5,100,1,매우 위험
168,선일빅데이터고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
169,선일여자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
170,선정고등학교,0.5,0.0,0.0,0.0,1,100,1,매우 위험
171,선정국제관광고등학교,0.5,0.0,0.5,1.0,1,40,4,보통
172,선화예술고등학교,0.5,0.0,0.0,0.0,5,100,1,매우 위험
173,성남고등학교,0.5,1.0,1.0,0.5,0,0,0,매우 안전
174,성덕고등학교,0.5,0.0,0.5,0.5,3,40,4,보통
175,성동고등학교,0.5,0.0,0.0,0.5,9,80,3,위험
176,성동공업고등학교,1.0,0.0,0.0,1.0,20,80,3,위험
177,성동글로벌경영고등학교,0.0,0.0,0.0,0.0,19,80,3,위험
178,성보고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
179,성수고등학교,0.0,0.0,0.0,1.0,0,40,4,보통
180,성수공업고등학교,0.0,0.0,0.0,0.0,6,100,1,매우 위험
181,성신여자고등학교,0.0,0.0,1.0,0.0,7,60,2,주의
182,성심여자고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
183,성암국제무역고등학교,0.0,0.0,0.0,0.0,7,100,1,매우 위험
184,세그루패션디자인고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
185,세명컴퓨터고등학교,0.5,0.5,0.0,0.5,0,0,0,매우 안전
186,세종과학고등학교,0.0,0.0,1.0,0.0,0,60,2,주의
187,세현고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
188,세화고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
189,세화여자고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
190,송곡고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
191,송곡관광고등학교,1.0,0.0,0.0,1.0,0,40,4,보통
192,송곡여자고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
193,수도여자고등학교,0.0,0.0,0.0,1.0,0,40,4,보통
194,수도전기공업고등학교,1.0,0.0,0.0,1.0,0,40,4,보통
195,수락고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
196,수명고등학교,0.5,0.0,0.0,0.0,0,100,1,매우 위험
197,숙명여자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
198,숭문고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
199,숭실고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
200,숭의여자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
201,신광여자고등학교,0.0,0.0,0.0,0.0,11,80,3,위험
202,신도고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
203,신도림고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
204,신림고등학교,0.0,0.0,0.0,0.0,4,100,1,매우 위험
205,신목고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
206,신서고등학교,0.5,0.0,0.25,0.75,1,40,4,보통
207,신일고등학교,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0,0,매우 안전
208,신진과학기술고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
209,신현고등학교,1.0,0.5,1.0,0.5,0,20,5,안전
210,압구정고등학교,1.0,0.5,1.0,1.0,1,20,5,안전
211,양재고등학교,1.0,0.0,0.5,1.0,0,20,5,안전
212,양정고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
213,양천고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
214,언남고등학교,0.0,1.0,0.0,1.0,0,0,0,매우 안전
215,여의도고등학교,1.0,0.0,0.0,1.0,0,40,4,보통
216,여의도여자고등학교,0.5,0.0,0.5,0.5,0,40,4,보통
217,염광고등학교,1.0,0.0,0.0,1.0,0,40,4,보통
218,염광여자메디텍고등학교,1.0,1.0,0.0,0.0,0,0,0,매우 안전
219,영동고등학교,1.0,0.0,0.0,1.0,0,40,4,보통
220,영동일고등학교,1.0,0.5,0.0,0.5,2,0,0,매우 안전
221,영등포고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
222,영등포공업고등학교,0.0,0.0,1.0,1.0,0,60,2,주의
223,영등포여자고등학교,0.0,0.0,0.0,0.0,10,80,3,위험
224,영락고등학교,0.5,0.5,0.0,0.0,0,0,0,매우 안전
225,영락의료과학고등학교,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,매우 안전
226,영신간호비즈니스고등학교,0.0,0.5,0.0,0.0,0,0,0,매우 안전
227,영신고등학교,1.0,0.0,1.0,1.0,11,20,5,안전
228,영신여자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
229,영일고등학교,1.0,0.0,0.5,1.0,1,20,5,안전
230,영파여자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
231,영훈고등학교,0.5,0.0,0.0,0.5,15,80,3,위험
232,예림디자인고등학교,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0,60,2,주의
233,예일디자인고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
234,예일여자고등학교,0.0,0.3333333333333333,0.0,0.6666666666666666,0,0,0,매우 안전
235,오금고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
236,오류고등학교,1.0,0.0,0.0,1.0,0,40,4,보통
237,오산고등학교,1.0,0.0,0.0,1.0,5,40,4,보통
238,용문고등학교,1.0,1.0,1.0,1.0,0,0,0,매우 안전
239,용산고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
240,용산철도고등학교,1.0,0.0,0.0,1.0,4,40,4,보통
241,용화여자고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
242,우신고등학교,1.0,0.0,0.5,0.5,0,20,5,안전
243,원묵고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
244,월계고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
245,유한공업고등학교,0.5,0.5,0.5,0.5,0,0,0,매우 안전
246,은광여자고등학교,1.0,0.0,1.0,0.0,1,20,5,안전
247,은평고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
248,은평메디텍고등학교,0.0,1.0,0.0,0.0,0,0,0,매우 안전
249,이화여자고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
250,이화여자대학교병설미디어고등학교,0.0,0.0,0.0,0.0,4,100,1,매우 위험
251,이화여자대학교사범대학부속이화금란고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
252,이화여자외국어고등학교,0.0,0.0,0.0,0.0,4,100,1,매우 위험
253,인덕과학기술고등학교,1.0,0.0,0.3333333333333333,1.0,0,40,4,보통
254,인창고등학교,0.0,0.0,0.0,0.0,5,100,1,매우 위험
255,인헌고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
256,일신여자상업고등학교,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,2,60,2,주의
257,자양고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
258,자운고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
259,잠신고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
