,학교명,시군구,한부모가족지원법수급자_재가보호_가구원수,국민기초생활보장법수급자_가구원수,소득인식수준_중간소득,소득인식수준_고소득,성인게임장수,사건종별가정폭력,사건종별데이트폭력,월평균소득금액(백만),다문화가족,환경지표_score,환경지표_cluster,환경지표_학교폭력위험도,교실안,신체폭력,집단따돌림,쉬는시간,500m_inner_Harmful_dept,위해지표_score,위해지표_cluster,위해지표_학교폭력위험도,평균 교육 시간(1학급당),500m_inner_police_dept,500m_inner_cctv,경감지표_score,경감지표_cluster,경감지표_학교폭력위험도,total_score,종합_위험도
36,광영여자고등학교,양천구,15.982703163465317,58.27027195013396,62.8,13.5,6.0,4.280518811753725,0.4125165284088848,35.63309,2.47819510154163,65.10383413720601,2,보통,0.0,0.0,0.0,1.0,0,40,4,보통,528.55,0,109,80,2,안전,42.18925387328577,안전
37,광운인공지능고등학교,노원구,15.516190047111737,82.9601550453834,45.7,18.5,9.0,4.978838358065423,0.4968158473574574,31.93595,2.2483718251221445,73.82736650264715,2,보통,0.5,0.5,0.0,0.5,0,0,0,매우 안전,170.0,0,170,60,4,보통,41.07035746632178,안전
38,구로고등학교,구로구,15.83709870050313,51.975126020091984,51.1,26.5,49.0,4.514844411515665,0.5302776676330382,28.90323,7.541278577476715,70.97225945894482,4,높음,0.0,0.0,0.0,0.0,6,100,1,매우 위험,40.9,0,231,60,4,보통,69.50262170979416,위험
39,구암고등학교,관악구,13.034363868983618,52.35769818339811,58.0,20.0,64.0,3.023201664450904,1.1496001927457389,27.82525,3.560242457017959,77.86743315829996,4,높음,0.0,0.0,0.0,0.0,1,100,1,매우 위험,28.25,0,86,20,0,매우 안전하지 않음,85.71683374487547,매우위험
40,구일고등학교,구로구,15.83709870050313,51.975126020091984,51.1,26.5,49.0,4.514844411515665,0.5302776676330382,28.90323,7.541278577476715,70.97225945894482,4,높음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,28.3,0,76,20,0,매우 안전하지 않음,82.13589049035693,매우위험
41,구현고등학교,구로구,15.83709870050313,51.975126020091984,51.1,26.5,49.0,4.514844411515665,0.5302776676330382,28.90323,7.541278577476715,70.97225945894482,4,높음,0.0,0.0,0.0,0.0,1,100,1,매우 위험,800.0,0,62,80,2,안전,63.18598731951277,위험
42,국립국악고등학교,강남구,6.136110078095947,30.717738936407585,44.9,34.7,2.0,2.146930105566124,1.1605925374984505,47.99007,1.3306654312834516,19.071216500868555,3,매우낮음,0.0,0.0,0.0,0.0,2,100,1,매우 위험,113.0,1,316,100,1,매우 안전,29.91503708645826,매우안전
43,국립전통예술고등학교,금천구,25.15404812753429,76.48300672544111,61.0,18.2,15.0,6.339795201893295,1.0889198323607918,25.6777,5.34627845556708,90.22911414798968,1,매우높음,1.0,0.0,0.0,1.0,1,40,4,보통,41.7,0,243,60,4,보통,61.55446483255484,위험
44,금옥여자고등학교,양천구,15.982703163465317,58.27027195013396,62.8,13.5,6.0,4.280518811753725,0.4125165284088848,35.63309,2.47819510154163,65.10383413720601,2,보통,0.0,0.0,0.0,0.0,0,100,1,매우 위험,75.0,0,109,20,0,매우 안전하지 않음,79.08817929600488,매우위험
45,금천고등학교,금천구,25.15404812753429,76.48300672544111,61.0,18.2,15.0,6.339795201893295,1.0889198323607918,25.6777,5.34627845556708,90.22911414798968,1,매우높음,0.0,0.0,0.0,0.0,2,100,1,매우 위험,159.5,0,188,60,4,보통,79.50348708442979,매우위험
46,금호고등학교,성동구,11.548764487207524,37.51640061228952,47.1,33.3,15.0,2.795477403730747,0.5837023471098476,35.35332,1.91429430907649,38.34684585486745,3,매우낮음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,66.75,1,226,100,1,매우 안전,39.925652905789626,매우안전
47,남강고등학교,관악구,13.034363868983618,52.35769818339811,58.0,20.0,64.0,3.023201664450904,1.1496001927457389,27.82525,3.560242457017959,77.86743315829996,4,높음,1.0,0.0,0.0,1.0,0,40,4,보통,72.6,0,404,60,4,보통,55.13454271243776,보통
48,노원고등학교,노원구,15.516190047111737,82.9601550453834,45.7,18.5,9.0,4.978838358065423,0.4968158473574574,31.93595,2.2483718251221445,73.82736650264715,2,보통,0.0,0.5,0.0,0.0,0,0,0,매우 안전,2.9000000000000004,0,49,20,0,매우 안전하지 않음,53.70362624688455,보통
49,누원고등학교,도봉구,27.773168051150225,85.26080789547018,56.2,29.7,16.0,5.916945070096262,0.8401879098525338,27.13315,1.5071463857792364,89.94662719895763,1,매우높음,0.0,0.0,0.0,0.0,1,100,1,매우 위험,179.5,1,59,40,3,안전하지 않음,85.67341454915244,매우위험
50,단국대학교부속소프트웨어고등학교,강남구,6.136110078095947,30.717738936407585,44.9,34.7,2.0,2.146930105566124,1.1605925374984505,47.99007,1.3306654312834516,19.071216500868555,3,매우낮음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,262.5,1,250,100,1,매우 안전,29.91503708645826,매우안전
51,단국대학교사범대학부속고등학교,강남구,6.136110078095947,30.717738936407585,44.9,34.7,2.0,2.146930105566124,1.1605925374984505,47.99007,1.3306654312834516,19.071216500868555,3,매우낮음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,255.0,1,250,100,1,매우 안전,29.91503708645826,매우안전
52,당곡고등학교,관악구,13.034363868983618,52.35769818339811,58.0,20.0,64.0,3.023201664450904,1.1496001927457389,27.82525,3.560242457017959,77.86743315829996,4,높음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,63.900000000000006,0,360,60,4,보통,73.0835649643127,매우위험
53,대경생활과학고등학교,중구,17.528284276901363,38.92644949805368,35.2,32.2,7.0,2.2498769598537574,0.5374834644792986,39.102235,10.96815017928707,35.48083657280671,0,낮음,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0,0,0,매우 안전,145.85,1,242,100,1,매우 안전,8.522181001954278,매우안전
54,대광고등학교,동대문구,17.442884496286997,53.49340636239155,46.3,22.0,16.0,4.093671836552462,0.90907541348727,30.11303,3.3485030669244,58.57481779644922,2,보통,0.0,0.0,1.0,0.0,16,80,3,위험,41.0,0,204,60,4,보통,57.08112020514502,보통
55,대동세무고등학교,종로구,17.296425622118615,27.635266501505303,38.2,53.5,17.0,0.997552178228088,0.321508329233199,23.05023333333333,6.249166777762965,32.34150469437501,0,낮음,1.0,0.0,0.0,1.0,2,40,4,보통,48.650000000000006,0,60,20,0,매우 안전하지 않음,44.12435107461645,안전
56,대성고등학교,은평구,18.022813528845933,72.71995691290161,53.4,23.9,19.0,2.5311013597006906,0.2855358538727044,29.840355,5.39682743644272,74.88196584935213,2,보통,0.0,0.0,0.0,0.0,0,100,1,매우 위험,187.1,0,92,20,0,매우 안전하지 않음,84.1663595309246,매우위험
57,대신고등학교,종로구,17.296425622118615,27.635266501505303,38.2,53.5,17.0,0.997552178228088,0.321508329233199,23.05023333333333,6.249166777762965,32.34150469437501,0,낮음,0.0,0.0,1.0,0.0,2,60,2,주의,136.35,1,156,40,3,안전하지 않음,43.7907241016267,안전
58,대영고등학교,영등포구,9.553313977271594,25.866283536372432,39.2,40.5,17.0,3.276145648075097,0.6381347674113096,35.48012,3.242715590441678,25.401158874725976,3,매우낮음,0.0,0.0,0.0,0.0,7,100,1,매우 위험,100.0,0,268,60,4,보통,45.8357015779189,안전
59,대원고등학교,광진구,16.50469192659666,57.36940166237979,53.1,23.0,7.0,3.966529015431428,0.9240169735537362,30.66952,2.4994566398609,60.19373183370286,2,보통,0.0,0.0,0.0,0.0,2,100,1,매우 위험,70.0,1,179,40,3,안전하지 않음,70.22152970822818,위험
60,대원여자고등학교,광진구,16.50469192659666,57.36940166237979,53.1,23.0,7.0,3.966529015431428,0.9240169735537362,30.66952,2.4994566398609,60.19373183370286,2,보통,0.0,0.0,1.0,0.0,2,60,2,주의,116.7,1,179,40,3,안전하지 않음,58.25551487364487,보통
61,대원외국어고등학교,광진구,16.50469192659666,57.36940166237979,53.1,23.0,7.0,3.966529015431428,0.9240169735537362,30.66952,2.4994566398609,60.19373183370286,2,보통,0.0,0.0,0.5,0.0,2,100,1,매우 위험,180.0,1,179,40,3,안전하지 않음,70.22152970822818,위험
62,대일고등학교,강서구,20.076996315767687,67.13030039602047,62.7,17.2,15.0,5.099762909135696,1.060769135240303,31.65221,2.591577629296631,77.83118571908382,1,매우높음,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,0,0,매우 안전,213.4,0,240,60,4,보통,43.14970311308214,안전
63,대일관광고등학교,양천구,15.982703163465317,58.27027195013396,62.8,13.5,6.0,4.280518811753725,0.4125165284088848,35.63309,2.47819510154163,65.10383413720601,2,보통,1.0,0.0,1.0,1.0,0,20,5,안전,200.0,0,106,20,0,매우 안전하지 않음,55.15614962683827,보통
64,대일외국어고등학교,성북구,15.267799937292963,53.43729978052538,49.3,38.8,12.0,2.114308650138409,0.2366660456549628,31.817815,1.910839616861492,50.47278696655239,2,보통,1.0,0.0,1.0,0.0,0,20,5,안전,150.0,0,152,20,0,매우 안전하지 않음,47.55765364156748,안전
65,대진고등학교,노원구,15.516190047111737,82.9601550453834,45.7,18.5,9.0,4.978838358065423,0.4968158473574574,31.93595,2.2483718251221445,73.82736650264715,2,보통,1.0,0.0,1.0,1.0,0,20,5,안전,81.55000000000001,0,57,20,0,매우 안전하지 않음,59.6866336641762,보통
66,대진디자인고등학교,강남구,6.136110078095947,30.717738936407585,44.9,34.7,2.0,2.146930105566124,1.1605925374984505,47.99007,1.3306654312834516,19.071216500868555,3,매우낮음,0.5,0.25,0.25,0.5,0,40,4,보통,106.7,0,46,20,0,매우 안전하지 않음,37.23255239570885,매우안전
67,대진여자고등학교,노원구,15.516190047111737,82.9601550453834,45.7,18.5,9.0,4.978838358065423,0.4968158473574574,31.93595,2.2483718251221445,73.82736650264715,2,보통,0.0,0.0,0.0,0.0,0,100,1,매우 위험,100.0,1,76,40,3,안전하지 않음,77.30202894306142,매우위험
68,덕성여자고등학교,종로구,17.296425622118615,27.635266501505303,38.2,53.5,17.0,0.997552178228088,0.321508329233199,23.05023333333333,6.249166777762965,32.34150469437501,0,낮음,0.0,0.0,1.0,0.0,7,60,2,주의,100.0,1,48,40,3,안전하지 않음,43.7907241016267,안전
69,덕수고등학교,성동구,11.548764487207524,37.51640061228952,47.1,33.3,15.0,2.795477403730747,0.5837023471098476,35.35332,1.91429430907649,38.34684585486745,3,매우낮음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,287.9,0,136,80,2,안전,46.24228729607101,안전
70,덕원여자고등학교,강서구,20.076996315767687,67.13030039602047,62.7,17.2,15.0,5.099762909135696,1.060769135240303,31.65221,2.591577629296631,77.83118571908382,1,매우높음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,100.0,1,44,40,3,안전하지 않음,79.38137458982177,매우위험
71,덕원예술고등학교,강서구,20.076996315767687,67.13030039602047,62.7,17.2,15.0,5.099762909135696,1.060769135240303,31.65221,2.591577629296631,77.83118571908382,1,매우높음,1.0,0.0,0.5,1.0,0,20,5,안전,137.3,1,44,40,3,안전하지 않음,55.44934492065517,보통
72,덕일전자공업고등학교,구로구,15.83709870050313,51.975126020091984,51.1,26.5,49.0,4.514844411515665,0.5302776676330382,28.90323,7.541278577476715,70.97225945894482,4,높음,1.0,0.0,1.0,1.0,0,20,5,안전,270.85,1,134,40,3,안전하지 않음,51.88722643090894,보통
73,도봉고등학교,도봉구,27.773168051150225,85.26080789547018,56.2,29.7,16.0,5.916945070096262,0.8401879098525338,27.13315,1.5071463857792364,89.94662719895763,1,매우높음,0.0,0.0,0.0,0.0,1,100,1,매우 위험,100.0,0,100,20,0,매우 안전하지 않음,91.99004893943383,매우위험
74,도선고등학교,성동구,11.548764487207524,37.51640061228952,47.1,33.3,15.0,2.795477403730747,0.5837023471098476,35.35332,1.91429430907649,38.34684585486745,3,매우낮음,0.5,0.5,0.0,0.0,4,0,0,매우 안전,214.3,1,246,100,1,매우 안전,10.01061581933137,매우안전
75,독산고등학교,금천구,25.15404812753429,76.48300672544111,61.0,18.2,15.0,6.339795201893295,1.0889198323607918,25.6777,5.34627845556708,90.22911414798968,1,매우높음,0.0,0.0,1.0,1.0,0,60,2,주의,96.25,0,186,60,4,보통,67.53747224984649,위험
76,동구마케팅고등학교,성북구,15.267799937292963,53.43729978052538,49.3,38.8,12.0,2.114308650138409,0.2366660456549628,31.817815,1.910839616861492,50.47278696655239,2,보통,0.0,0.0,0.0,0.0,1,100,1,매우 위험,347.1,0,97,80,2,안전,52.53978013988993,보통
77,동국대학교사범대학부속고등학교,동대문구,17.442884496286997,53.49340636239155,46.3,22.0,16.0,4.093671836552462,0.90907541348727,30.11303,3.3485030669244,58.57481779644922,2,보통,0.0,0.0,0.0,0.0,1,100,1,매우 위험,309.1,1,140,40,3,안전하지 않음,69.38076201271805,위험
78,동국대학교사범대학부속여자고등학교,광진구,16.50469192659666,57.36940166237979,53.1,23.0,7.0,3.966529015431428,0.9240169735537362,30.66952,2.4994566398609,60.19373183370286,2,보통,1.0,0.0,0.0,1.0,2,40,4,보통,116.4,0,379,60,4,보통,45.955873066071845,안전
79,동덕여자고등학교,서초구,6.367636069174154,22.803345772250083,52.8,35.2,8.0,2.281247363155294,0.3604322303306124,46.570755,1.1933605757060717,20.295261744023893,3,매우낮음,0.0,0.0,1.0,0.0,0,60,2,주의,1.0,0,148,20,0,매우 안전하지 않음,43.85125613448876,안전
80,동명생활경영고등학교,은평구,18.022813528845933,72.71995691290161,53.4,23.9,19.0,2.5311013597006906,0.2855358538727044,29.840355,5.39682743644272,74.88196584935213,2,보통,0.0,0.0,0.0,0.0,8,80,3,위험,391.65,0,202,80,2,안전,59.2334489427888,보통
81,동명여자고등학교,은평구,18.022813528845933,72.71995691290161,53.4,23.9,19.0,2.5311013597006906,0.2855358538727044,29.840355,5.39682743644272,74.88196584935213,2,보통,1.0,0.0,1.0,1.0,8,20,5,안전,250.0,0,202,60,4,보통,47.60106108119523,안전
82,동북고등학교,강동구,14.148759196693478,48.66315663105181,52.6,19.8,15.0,4.690014354443052,0.769964042143294,33.3621,1.3340944911205153,55.14826653218568,2,보통,1.0,0.5,0.5,0.0,0,0,0,매우 안전,104.8,0,9,20,0,매우 안전하지 않음,44.00281232163748,안전
83,동성고등학교,종로구,17.296425622118615,27.635266501505303,38.2,53.5,17.0,0.997552178228088,0.321508329233199,23.05023333333333,6.249166777762965,32.34150469437501,0,낮음,1.0,0.0,0.0,1.0,2,40,4,보통,100.0,1,168,40,3,안전하지 않음,37.807716684335055,매우안전
84,동양고등학교,강서구,20.076996315767687,67.13030039602047,62.7,17.2,15.0,5.099762909135696,1.060769135240303,31.65221,2.591577629296631,77.83118571908382,1,매우높음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,72.7,0,41,20,0,매우 안전하지 않음,85.69800898010317,매우위험
85,동일여자고등학교,금천구,25.15404812753429,76.48300672544111,61.0,18.2,15.0,6.339795201893295,1.0889198323607918,25.6777,5.34627845556708,90.22911414798968,1,매우높음,1.0,0.0,0.0,1.0,0,40,4,보통,145.2,1,167,40,3,안전하지 않음,67.87109922283622,위험
86,동작고등학교,동작구,9.306123276972544,37.65556693815866,53.1,17.0,4.0,3.170830372029197,0.4775621845131231,34.36506,1.9108792726590047,41.2546940816567,2,보통,0.0,0.0,0.0,0.0,0,100,1,매우 위험,129.65,0,185,60,4,보통,54.06908516401193,보통
87,둔촌고등학교,강동구,14.148759196693478,48.66315663105181,52.6,19.8,15.0,4.690014354443052,0.769964042143294,33.3621,1.3340944911205153,55.14826653218568,2,보통,0.0,0.0,0.0,0.0,1,100,1,매우 위험,172.4,1,185,40,3,안전하지 않음,67.60121501781434,위험
88,등촌고등학교,강서구,20.076996315767687,67.13030039602047,62.7,17.2,15.0,5.099762909135696,1.060769135240303,31.65221,2.591577629296631,77.83118571908382,1,매우높음,0.0,0.0,1.0,0.0,0,60,2,주의,45.2,0,67,20,0,매우 안전하지 않음,73.73199414551985,매우위험
